Distpc,          Velkms
33733.33,	-19.733809
39346.57,	26.962046
36611.125,	54.438488
208567.22,	34.971405
252911.47,	7.4378057
269489.56,	-39.288532
269435.72,	-77.75021
269370.3,	-124.45369
442076.62,	391.79556
497570.4,	402.7084
500394.34,	438.419
608496.44,	380.57788
630595.44,	314.61307
669261.06,	193.68015
899361.75,	97.20968
799881.5,	369.3259
899819.56,	424.134
899942.7,	512.04645
897276.5,	588.97363
1003020.1,	827.8407
1047279.75,	739.8673
1105509.0,	723.3037
1102504.2,	558.47174
1399590.6,	755.867
1396609.0,	607.51855
1635323.8,	719.8287
1702351.9,	1043.9143
2004797.6,	1106.686
1998880.4,	842.95636
2001600.5,	804.4909
1998434.1,	524.27386
1405103.9,	731.134
