velkms,                  dMpc,                    derrMpc
2.997920000000000073e+03,5.152289999999999992e+01,8.779049999999999798e+00
2.997920000000000073e+03,4.365160000000000196e+01,7.638869999999999827e+00
2.997920000000000073e+03,5.546260000000000190e+01,9.961169999999999192e+00
3.897295999999999822e+03,6.367960000000000065e+01,9.090909999999999158e+00
3.897295999999999822e+03,5.571860000000000213e+01,7.697809999999999597e+00
4.197087999999999738e+03,6.698850000000000193e+01,8.946300000000000807e+00
4.197087999999999738e+03,6.668070000000000164e+01,8.905200000000000671e+00
4.197087999999999738e+03,7.691299999999999670e+01,1.027169999999999916e+01
4.496880000000000109e+03,8.241379999999999484e+01,1.062679999999999936e+01
4.796672000000000480e+03,8.053780000000000427e+01,1.001399999999999935e+01
4.796672000000000480e+03,6.698850000000000193e+01,8.329319999999999169e+00
4.796672000000000480e+03,7.620789999999999509e+01,9.475659999999999528e+00
4.796672000000000480e+03,7.943280000000000030e+01,9.876649999999999707e+00
5.096463999999999942e+03,6.854879999999999995e+01,8.207649999999999224e+00
5.096463999999999942e+03,7.834300000000000352e+01,9.380349999999999966e+00
5.096463999999999942e+03,8.394599999999999795e+01,1.043779999999999930e+01
5.096463999999999942e+03,8.749840000000000373e+01,1.128250000000000064e+01
5.096463999999999942e+03,8.709640000000000271e+01,1.042839999999999989e+01
5.396255999999999403e+03,9.817480000000000473e+01,1.130279999999999951e+01
5.396255999999999403e+03,7.211069999999999425e+01,8.302060000000000883e+00
5.696047999999999774e+03,8.279420000000000357e+01,9.532040000000000290e+00
6.295632000000000517e+03,1.023289999999999935e+02,1.083859999999999957e+01
6.895215999999999440e+03,1.066599999999999966e+02,1.080610000000000070e+01
6.895215999999999440e+03,1.174899999999999949e+02,1.190329999999999977e+01
7.195007999999999811e+03,1.042319999999999993e+02,1.056010000000000026e+01
7.494800000000000182e+03,1.202259999999999991e+02,1.218060000000000009e+01
7.494800000000000182e+03,1.042319999999999993e+02,1.056010000000000026e+01
7.794591999999999643e+03,1.300169999999999959e+02,1.257380000000000031e+01
7.794591999999999643e+03,1.336599999999999966e+02,1.354149999999999920e+01
7.794591999999999643e+03,1.174899999999999949e+02,1.244439999999999991e+01
8.094384000000000015e+03,1.513559999999999945e+02,1.463739999999999952e+01
8.394175999999999476e+03,1.276440000000000055e+02,1.293210000000000015e+01
8.693968000000000757e+03,1.380380000000000109e+02,1.334950000000000081e+01
8.693968000000000757e+03,1.682669999999999959e+02,1.627289999999999992e+01
8.993760000000000218e+03,1.513559999999999945e+02,1.463739999999999952e+01
9.293551999999999680e+03,1.472309999999999945e+02,1.423850000000000016e+01
9.593344000000000960e+03,1.644370000000000118e+02,1.514520000000000088e+01
9.893136000000000422e+03,1.276440000000000055e+02,1.234430000000000049e+01
1.019292799999999988e+04,1.729819999999999993e+02,1.593219999999999992e+01
1.079251199999999881e+04,1.592210000000000036e+02,1.539799999999999969e+01
1.079251199999999881e+04,1.713959999999999866e+02,1.578609999999999935e+01
1.079251199999999881e+04,1.896709999999999923e+02,1.659580000000000055e+01
1.139209599999999955e+04,2.157740000000000009e+02,1.887989999999999924e+01
1.199168000000000029e+04,1.887990000000000066e+02,1.738899999999999935e+01
1.289105599999999868e+04,2.013720000000000141e+02,1.761970000000000169e+01
1.349063999999999942e+04,2.500349999999999966e+02,2.072609999999999886e+01
1.379043199999999888e+04,1.862090000000000032e+02,1.800799999999999912e+01
1.468980800000000090e+04,2.041740000000000066e+02,1.880509999999999948e+01
1.498960000000000036e+04,2.333460000000000036e+02,2.364110000000000156e+01
1.498960000000000036e+04,2.594180000000000064e+02,2.269859999999999900e+01
1.558918399999999929e+04,2.703960000000000150e+02,2.241390000000000171e+01
1.588897599999999875e+04,2.454710000000000036e+02,2.147830000000000084e+01
1.678835199999999895e+04,2.897339999999999804e+02,2.535119999999999862e+01
1.738793600000000151e+04,2.666859999999999786e+02,2.333449999999999847e+01
1.828731199999999808e+04,2.897339999999999804e+02,2.935409999999999897e+01
1.888689600000000064e+04,3.419789999999999850e+02,2.992259999999999920e+01
2.128523199999999633e+04,3.597490000000000236e+02,3.147739999999999938e+01
2.248439999999999782e+04,3.580960000000000036e+02,3.133279999999999887e+01
2.368356799999999930e+04,3.872579999999999814e+02,3.210099999999999909e+01
2.638169599999999991e+04,4.111499999999999773e+02,5.301559999999999917e+01
3.027899200000000201e+04,5.495410000000000537e+02,5.061460000000000292e+01
3.717420799999999872e+04,6.886520000000000437e+02,6.976990000000000691e+01
5.156422399999999470e+04,9.078210000000000264e+02,7.525199999999999534e+01
5.396255999999999767e+04,9.908319999999999936e+02,8.213309999999999889e+01
